"MIC","OPERATING MIC","OPRT/SGMT","MARKET NAME-INSTITUTION DESCRIPTION","LEGAL ENTITY NAME","LEI","MARKET CATEGORY CODE","ACRONYM","ISO COUNTRY CODE (ISO 3166)","CITY","WEBSITE","STATUS","CREATION DATE","LAST UPDATE DATE","LAST VALIDATION DATE","EXPIRY DATE","COMMENTS"
"FREX","FREX","OPRT","COINBASE DERIVATIVES","LMX LABS, LLC","549300QHD76EP6ZKTT48","DCMS","CDE","US","CHICAGO","WWW.COINBASE.COM/DERIVATIVES","ACTIVE","20201026","20220822","20220822","",""
"HCER","HMTF","SGMT","VORVEL CERTIFICATES","VORVEL SIM S.P.A.","815600F681369854E440","MLTF",,"IT","MILAN","WWW.VORVEL.EU","ACTIVE","20200727","20230227","20230227","","MTF FOR CERTIFICATES AND COVERED WARRANT."
"IDXM","IDXM","OPRT","IDX MARKETS, LLC","IDX MARKETS, LLC","9845006C2FC4E0741B90","ATSS","","US","NEW YORK","WWW.IDXMARKETS.COM","ACTIVE","20210628","20210628",,"","REGISTERED ALTERNATIVE TRADING SYSTEM (ATS) FOR FIXED INCOME STRUCTURED PRODUCTS."
"MBCP","MBCP","OPRT","MILLENNIUM BCP","BANCO COMERCIAL PORTUGUES S.A.","JU1U6S0DG9YLT7N8ZV32","SINT","MILLENNIUMBCP","PT","PORTO","HTTPS://IND.MILLENNIUMBCP.PT/PT/PARTICULARES/PAGES/WELCOME.ASPX","ACTIVE","20210628","20210628",,"","SYSTEMATIC INTERNALISER IN FX DERIVATIVES AND STRUCTURED PRODUCTS."
"GMBG","MBUL","SGMT","MTF SOFIA - GROWTH MARKET","CAPMAN AD","5299003795MPR9UZ1J25","NSPD","","BG","SOFIA","WWW.CAPMAN.BG","ACTIVE","20210628","20210628",,"",""
"OCEA","OCEA","OPRT","BLUE OCEAN ALTERNATIVE TRADING SYSTEM","BLUE OCEAN ATS, LLC","","ATSS","BOATS","US","SEA GIRT","WWW.BLUEOCEANATS.COM","ACTIVE","20210628","20210628",,"","BLUE OCEAN ATS, LLC IS A US REGISTERED BROKER DEALER (CRD #306512) AND OPERATOR OF AN ALTERNATIVE TRADING SYSTEM (ATS)."
"OSDS","OSDS","OPRT","OSL DIGITAL SECURITIES EXCHANGE","","549300WBXH3AFK5BRJ77","NSPD","OSLDS","HK","HONG KONG","HTTPS://OSL.COM/EN/HOME","ACTIVE","20210628","20210628",,"","OSL DIGITAL SECURITIES - ASIA'S LEADING DIGITAL ASSET PLATFORM."
"OSSG","OSSG","OPRT","OSL SG EXCHANGES","OSL SG PTE. LTD.","5493005YD2GDV5LCUD15","NSPD","OSLSG","SG","SINGAPORE","WWW.SG.OSL.COM","ACTIVE","20210628","20210628",,"","ASIA LEADING DIGITAL ASSET PLATFORM - OSL SG EXCHANGES."
"RR4G","RR4G","OPRT","ROUTE4GAS","ROUTE4GAS B.V.","724500EY0KGMVVONVS49","NSPD","R4G","NL","AMSTERDAM","HTTPS://ROUTE4GAS.COM/INFO/","ACTIVE","20210628","20210628",,"",""
"TRUK","TRUK","OPRT","TRADING 212 UK LIMITED","TRADING 212 UK LIMITED","2138006AXBAC4F1AWD58","NSPD","","GB","LONDON","WWW.TRADING212.COM","ACTIVE","20210628","20210628",,"",""
"UGEN","UGEN","OPRT","UNITEDBLOCKTRADE","UNITED GENERAL LIMITED","9845009F695B98C2BA24","NSPD","","GB","BRADFORD","WWW.UNITEDGENERAL.CO.UK","ACTIVE","20210628","20210628",,"",""
"XGLO","XWAR","SGMT","WARSAW STOCK EXCHANGE/ EQUITIES/GLOBAL CONNECT - MTF","WARSAW STOCK EXCHANGE","25940039ZHD3Z37GKR71","MLTF","","PL","WARSAW","WWW.GPW.PL","ACTIVE","20210426","20210628","20210628","","MULTILATERAL TRADING FACILITY."
"WIND","XWAR","SGMT","WARSAW STOCK EXCHANGE/INDICES","GPW BENCHMARK","25940039ZHD3Z37GKR71","RMKT","GPWB","PL","WARSAW","WWW.GPWBENCHMARK.PL","ACTIVE","20120528","20210628","20210628","",""
"CNOD","CNOD","OPRT","CNODE","","984500AE7138D1559A23","NSPD","CNODE","SG","SINGAPORE","WWW.SGX.COM","ACTIVE","20050627","20050627","","","MULTI-ASSET ECN."
"BGLU","BGLU","OPRT","BGL BNP PARIBAS","BGL BNP PARIBAS","UAIAINAJ28P30E5GWE37","SINT","BGL","LU","LUXEMBOURG","WWW.BGL.LU","ACTIVE","20210524","20210524","","","SYSTEMATIC INTERNALISER."
"FNIX","GFAM","SGMT","GFI SECURITIES LLC - FENICS DELTA X","GFI SECURITIES LLC","UPPK3261S5D7DR01JY66","ATSS","","US","NEW YORK","WWW.GFIGROUP.COM","ACTIVE","20191223","20210524","20210524","","U.S. CORPORATE BOND TRADING."
"LATG","GFAM","SGMT","GFI SECURITIES LLC - CREDITMATCH (LATG)","GFI SECURITIES LLC","UPPK3261S5D7DR01JY66","ATSS","LATG","US","NEW YORK","WWW.GFIGROUP.COM","ACTIVE","20210524","20210524","","",""
"GFAM","GFAM","OPRT","GFI SECURITIES LLC - ALL MARKETS","GFI SECURITIES LLC","UPPK3261S5D7DR01JY66","NSPD","","US","NEW YORK","WWW.GFIGROUP.COM","ACTIVE","20210524","20210524","","",""
"TMCY","TMCY","OPRT","TRADING 212 MARKETS LIMITED","TRADING 212 MARKETS LIMITED","21380045KC28948FNE32","SINT","T212CY","CY","LIMASSOL","WWW.TRADING212.COM","ACTIVE","20210524","20210524","","","SYSTEMATIC INTERNALISER."
